ID,column_1,column_5,column_2
1,10.0,0.0887094271419896,0.1400116678332357
2,0.6098775710443273,0.8126588092643283,0.4167140516539364
3,0.04269384910216456,0.8632917472831246,0.2320331051290594
4,0.7212440387288033,0.8895825453865776,0.3127702168848101
5,0.8999714660660603,0.0031229296660910677,0.32078096932350275
6,0.061558938533582186,0.18716439677807628,0.6653990763886776
7,0.5468711477405206,0.2419822520617082,0.7541770292566888
8,0.48493874395638614,0.5160207467090505,0.8248834286205493
9,0.5193023993934246,0.8505909767214486,0.3461958865335232
10,0.9599845016967522,0.8923579211285682,0.506661081076065
